== L1: in-engine tests (headless godot, one boot) ==
[BUILD] HEAD is fe00a1cd, assembly was built from 68e9012018d44f4095727fda23a13776dec1f89e -- forcing a cold compile
[TEST] net.shell_pickup_item                      | PASS | 1.10s (13 checks)
[TEST] net.shell_place_deployable                 | PASS | 1.16s (13 checks)
[TEST] net.shell_spawns_unarmed                   | PASS | 2.00s (11 checks)
[TEST] net.shell_sprint_clientauth                | PASS | 8.79s (9 checks)
[TEST] net.shell_sprint_stop_jitter               | PASS | 18.82s (10 checks)
[TEST] net.shell_stall_hitch                      | PASS | 5.85s (6 checks)
[TEST] net.shell_take_from_shelf                  | PASS | 2.58s (11 checks)
[TEST] net.shell_upgrade_skill                    | PASS | 1.21s (10 checks)
[TEST] net.shell_walk_clientauth                  | PASS | 5.73s (14 checks)
[TEST] net.shell_wan_doorway                      | PASS | 49.59s (5 checks)
[TEST] net.shell_wan_jump                         | PASS | 36.34s (5 checks)
[TEST] net.shell_wan_sprint_turns                 | PASS | 25.35s (6 checks)
[TEST] net.shell_wan_stepup                       | PASS | 49.90s (5 checks)
[TEST] net.shell_wan_thincollider                 | PASS | 33.92s (5 checks)
[TEST] net.shell_wan_walk                         | PASS | 31.36s (6 checks)
[TEST] net.slot_deequip                           | PASS | 1.04s (12 checks)
[TEST] net.vehicle_drive_sync                     | PASS | 8.24s (17 checks)
[TEST] net.vehicle_freeze_hold                    | PASS | 9.08s (9 checks)
[TEST] net.vehicle_puppet_is_solid                | PASS | 4.23s (9 checks)
[TEST] obj.winding_cross_family                   | PASS | 0.04s (10 checks)
[TEST] particles.gpu_renders_offline              | PASS | 3.99s (1 checks)
[TEST] player.broken_legs_mend                    | PASS | 1.92s (4 checks)
[TEST] player.door_and_bed_interaction            | PASS | 0.23s (7 checks)
[TEST] player.fall_damage                         | PASS | 1.69s (1 checks)
[TEST] player.jump_sprint_probe                   | PASS | 10.17s (1 checks)
[TEST] player.lean                                | PASS | 15.02s (45 checks)
[TEST] player.medical_cures_pinned                | PASS | 0.23s (18 checks)
[TEST] player.oxygen_drains                       | PASS | 8.22s (7 checks)
[TEST] player.respawns_at_claimed_bed             | PASS | 3.67s (6 checks)
[TEST] player.stance_stealth_radius               | PASS | 0.40s (4 checks)
[TEST] player.swim_blocks_fire                    | PASS | 2.67s (4 checks)
[TEST] player.swim_follows_aim                    | PASS | 1.06s (5 checks)
[TEST] player.swim_in_water                       | PASS | 1.15s (4 checks)
[TEST] player.teleport_sticks                     | PASS | 0.56s (6 checks)
[TEST] player.third_person_cam                    | PASS | 9.80s (33 checks)
[TEST] player.vision_slot                         | PASS | 0.33s (24 checks)
[TEST] player.wading_blocks_crouch                | PASS | 0.37s (3 checks)
[TEST] power.battery_charge_discharge             | PASS | 2.42s (7 checks)
[TEST] power.battery_daisy_chain                  | PASS | 1.22s (4 checks)
[TEST] power.chain_passthrough                    | PASS | 0.03s (5 checks)
[TEST] power.combiner_sums_sources                | PASS | 0.04s (5 checks)
[TEST] power.fire_stops_conduction                | PASS | 0.02s (3 checks)
[TEST] power.gas_pump_extract                     | PASS | 0.03s (3 checks)
[TEST] power.gas_pump_powers                      | PASS | 0.02s (4 checks)
[TEST] power.gen_powers_spotlight                 | PASS | 0.02s (6 checks)
[TEST] power.gen_ramp_resolves                    | PASS | 2.21s (3 checks)
[TEST] power.generator_triggers                   | PASS | 0.15s (7 checks)
[TEST] power.grid_materialize_port_standsup       | PASS | 0.01s (2 checks)
[TEST] power.grid_reaches_pumps_and_tvs           | PASS | 20.51s (21 checks)
[TEST] power.grid_source_powers                   | PASS | 0.02s (14 checks)
[TEST] power.pickup_frees_wires                   | PASS | 0.05s (4 checks)
[TEST] power.splitter_fans_out                    | PASS | 0.04s (7 checks)
[TEST] power.switch_gates                         | PASS | 0.06s (6 checks)
[TEST] power.wind_turbine                         | PASS | 0.05s (4 checks)
[TEST] power.wire_clear_unpowers                  | PASS | 0.03s (2 checks)
[TEST] power.wireless_data                        | PASS | 0.42s (11 checks)
[TEST] power.wreck_drops_wires                    | PASS | 0.04s (4 checks)
[TEST] prop.car_lift                              | PASS | 4.57s (24 checks)
[TEST] prop.sitting                               | PASS | 1.82s (47 checks)
[TEST] prop.surfaces                              | PASS | 0.01s (39 checks)
[TEST] props.broken_streetlight_goes_dark         | PASS | 0.15s (12 checks)
[TEST] props.camera_split                         | PASS | 0.00s (8 checks)
[TEST] props.doors_bounce_open_not_closed         | PASS | 0.04s (3 checks)
[TEST] props.global_blackout                      | PASS | 0.08s (3 checks)
[TEST] props.gun_case_lid                         | PASS | 0.02s (23 checks)
[TEST] props.heart_monitor                        | PASS | 7.72s (70 checks)
[TEST] props.streetlight_adopts_prop_lens         | PASS | 0.18s (11 checks)
[TEST] props.streetlight_bulb_shoots_out          | PASS | 0.22s (19 checks)
[TEST] props.streetlight_follows_global_power     | PASS | 0.58s (4 checks)
[TEST] props.streetlight_leaves_a_stump           | PASS | 0.01s (10 checks)
[TEST] props.streetlight_lens_split               | PASS | 0.00s (10 checks)
[TEST] props.streetlight_motes_fade_with_the_clock | PASS | 0.06s (11 checks)
